Subgroup,Subgroup Value,Sample Size,Accuracy,F1-Score,Predicted High Risk %,Actual High Risk %,Disparity
Education,university,117,0.8803418803418803,0.8824403786040614,51.28205128205128,51.28205128205128,0.0
Education,high school,14,0.9285714285714286,0.9297924297924298,21.428571428571427,21.428571428571427,0.0
Education,college,19,0.8947368421052632,0.8975772765246449,21.052631578947366,26.31578947368421,5.263157894736842
Residence,city,126,0.873015873015873,0.8762734839600537,44.44444444444444,45.23809523809524,0.7936507936507964
Residence,village,28,0.9642857142857143,0.9642857142857143,39.285714285714285,39.285714285714285,0.0
Family Type,nuclear,84,0.8452380952380952,0.8464254609076336,32.142857142857146,30.952380952380953,1.1904761904761918
Family Type,joint,70,0.9428571428571428,0.944541231126597,57.14285714285714,60.0,2.857142857142858
Age Group,<25,48,0.9375,0.9373693834900733,35.41666666666667,35.41666666666667,0.0
Age Group,25-30,67,0.8805970149253731,0.884500574052813,47.76119402985074,49.25373134328358,1.4925373134328346
Age Group,30-35,35,0.8285714285714286,0.8285714285714286,45.714285714285715,45.714285714285715,0.0
