iter	Passed	Remaining
0	24	12054
1	53	13234
2	80	13284
3	104	12991
4	126	12478
5	147	12163
6	169	11932
7	193	11901
8	215	11744
9	237	11619
10	261	11633
11	284	11573
12	307	11524
13	329	11436
14	350	11335
15	375	11366
16	401	11395
17	425	11382
18	447	11340
19	473	11361
20	518	11832
21	555	12078
22	591	12265
23	618	12264
24	644	12236
25	666	12146
26	689	12077
27	714	12040
28	739	12009
29	765	11989
30	793	12007
31	824	12059
32	849	12024
33	874	11987
34	899	11952
35	925	11924
36	960	12019
37	1019	12391
38	1075	12709
39	1116	12836
40	1171	13112
41	1228	13391
42	1305	13877
43	1458	15117
44	1558	15761
45	1698	16766
46	1829	17632
47	1869	17606
48	1907	17558
49	2010	18095
50	2042	17982
51	2074	17871
52	2115	17839
53	2149	17749
54	2177	17615
55	2203	17469
56	2231	17345
57	2264	17260
58	2298	17183
59	2327	17066
60	2355	16954
61	2379	16811
62	2410	16721
63	2444	16656
64	2473	16553
65	2499	16437
66	2527	16334
67	2563	16288
68	2594	16203
69	2618	16083
70	2646	15988
71	2674	15896
72	2713	15874
73	2758	15877
74	2800	15869
75	2840	15847
76	2884	15847
77	2934	15873
78	2990	15934
79	3035	15934
80	3079	15929
81	3129	15953
82	3169	15924
83	3217	15936
84	3265	15941
85	3301	15894
86	3336	15837
87	3376	15806
88	3408	15739
89	3438	15665
90	3480	15644
91	3508	15560
92	3537	15481
93	3565	15401
94	3604	15365
95	3638	15314
96	3682	15301
97	3719	15256
98	3755	15211
99	3784	15137
100	3819	15088
101	3850	15024
102	3873	14929
103	3897	14840
104	3921	14753
105	3950	14683
106	3976	14607
107	4003	14529
108	4026	14444
109	4053	14373
110	4081	14304
111	4105	14222
112	4126	14132
113	4147	14042
114	4171	13965
115	4193	13881
116	4213	13792
117	4239	13723
118	4259	13638
119	4286	13574
120	4310	13503
121	4333	13426
122	4357	13354
123	4379	13278
124	4400	13201
125	4419	13118
126	4436	13030
127	4459	12960
128	4479	12883
129	4496	12798
130	4512	12710
131	4528	12625
132	4545	12542
133	4563	12463
134	4580	12383
135	4597	12305
136	4613	12225
137	4630	12147
138	4645	12064
139	4659	11981
140	4673	11897
141	4687	11818
142	4703	11742
143	4719	11667
144	4733	11590
145	4749	11516
146	4768	11451
147	4784	11380
148	4806	11322
149	4825	11260
150	4846	11201
151	4863	11135
152	4881	11072
153	4904	11019
154	4924	10960
155	4943	10902
156	4962	10842
157	4984	10789
158	5004	10732
159	5023	10675
160	5043	10620
161	5063	10564
162	5082	10508
163	5101	10452
164	5117	10390
165	5135	10333
166	5152	10273
167	5168	10214
168	5184	10153
169	5202	10098
170	5220	10043
171	5238	9989
172	5255	9933
173	5270	9875
174	5287	9820
175	5304	9764
176	5321	9710
177	5338	9657
178	5353	9600
179	5370	9547
180	5385	9491
181	5401	9438
182	5422	9392
183	5442	9347
184	5466	9307
185	5490	9269
186	5507	9218
187	5523	9167
188	5540	9116
189	5556	9066
190	5573	9016
191	5590	8967
192	5606	8917
193	5621	8867
194	5640	8822
195	5656	8773
196	5672	8724
197	5688	8676
198	5706	8631
199	5722	8583
200	5736	8533
201	5751	8484
202	5766	8436
203	5781	8389
204	5796	8341
205	5815	8299
206	5831	8253
207	5848	8210
208	5866	8168
209	5883	8125
210	5897	8077
211	5912	8032
212	5927	7986
213	5942	7941
214	5956	7896
215	5973	7853
216	5987	7808
217	6002	7764
218	6017	7721
219	6034	7679
220	6051	7639
221	6066	7596
222	6080	7553
223	6096	7512
224	6115	7474
225	6130	7432
226	6144	7389
227	6157	7346
228	6174	7306
229	6190	7267
230	6204	7225
231	6218	7183
232	6233	7142
233	6249	7104
234	6264	7064
235	6279	7024
236	6294	6984
237	6308	6944
238	6322	6904
239	6337	6865
240	6351	6826
241	6366	6787
242	6381	6748
243	6396	6710
244	6411	6672
245	6427	6636
246	6442	6598
247	6455	6559
248	6468	6520
249	6481	6481
250	6495	6443
251	6509	6406
252	6524	6370
253	6539	6333
254	6554	6297
255	6570	6262
256	6586	6227
257	6601	6191
258	6615	6156
259	6629	6119
260	6644	6084
261	6659	6049
262	6673	6013
263	6688	5978
264	6702	5943
265	6717	5909
266	6731	5874
267	6746	5840
268	6764	5808
269	6780	5775
270	6797	5744
271	6813	5711
272	6827	5677
273	6843	5644
274	6860	5612
275	6874	5579
276	6890	5547
277	6905	5514
278	6920	5482
279	6937	5450
280	6955	5420
281	6970	5388
282	6984	5355
283	6999	5323
284	7013	5290
285	7029	5259
286	7044	5228
287	7058	5195
288	7073	5164
289	7089	5133
290	7105	5103
291	7120	5072
292	7136	5041
293	7152	5011
294	7167	4980
295	7183	4950
296	7197	4919
